Tytuł,Długość,Premiera,Gatunek,Produkcja,Reżyseria,Obsada,Filmweb link,Opis
,,,,,,,,
1492: Wyprawa do raju,2 godz. 34 min.,10/8/1992,"Biograficzny, Przygodowy, Dramat historyczny","Francja, Hiszpania",Ridley Scott,"Gerard Depardieu, Armand Assante, Sigourney Weaver",http://www.filmweb.pl/film/1492%3A+Wyprawa+do+raju-1992-985,"Rok 1492, Krzysztof Kolumb wyrusza w podróż pod patronatem hiszpańskiej królowej Izabeli. Cel wyprawy to odnalezienie drogi morskiej do Indii."
2001: Odyseja kosmiczna,2 godz. 21 min.,4/2/1968,Sci-Fi,"USA, Wielka Brytania",Stanley Kubrick,"Keir Dullea, Gary Lockwood, William Sylvester",http://www.filmweb.pl/2001.Odyseja.Kosmiczna,"Film dzieli się na trzy epizody, których akcja ma miejsce w różnych okresach historycznych i zakątkach wszechświata. "
Ben Hur,3 godz. 32 min.,11/18/1959,"Dramat, Kostiumowy",USA,William Wyler,"Charlton Heston, Jack Hawkins, Haya Harareet",http://www.filmweb.pl/Ben.Hur,"Jerozolima, początek naszej ery. Wygnany z kraju przez swojego przyjaciela izraelski książę spotyka na pustyni Chrystusa. Jego nauka odmieni życie bohatera."
Big Lebowski,1 godz. 57 min.,2/15/1998,Komedia kryminalna,"USA, Wielka Brytania",Joel Coen,"Jeff Bridges, John Goodman, Julianne Moore",http://www.filmweb.pl/film/Big+Lebowski-1998-13,Jeffrey Lebowski postanawia odnaleźć swojego bogatego imiennika w celu uzyskania rekompensaty za zniszczony przez włamywaczy dywan.
Donnie Darko,1 godz. 53 min.,1/19/2001,Dramat,USA,Richard Kelly,"Jake Gyllenhaal, Jena Malone, Holmes Osborne",http://www.filmweb.pl/Donnie.Darko,"Donnie Darko, uważany za nastolatka z zaburzeniami osobowości, spotyka Franka - tajemniczą postać w kostiumie królika, która zaczyna manipulować jego życiem. "
Gorączka,2 godz. 50 min.,12/15/1995,Sensacyjny,USA,Michael Mann,"Al Pacino, Robert Deniro, Val Kilmer",http://www.filmweb.pl/Goraczka,Zawodowy przestępca Neil McCauley organizuje zbrojny napad na opancerzoną furgonetkę. Śledztwo w tej sprawie prowadzi Vincent Hanna.
Grimsby,1 godz. 22 min.,2/24/2016,"Komedia, Akcja","Australia, USA, Wielka Brytania",Louis Leterrier,"Sacha Baron Cohen, Mark Strong, Isla Fisher",http://www.filmweb.pl/film/Grimsby-2016-712170,Angielski chuligan odnajduje po latach swojego brata - jednego z najlepszych agentów MI6. Razem będą musieli rozpracować globalny spisek terrorystyczny.
Harry Angel,1 godz. 53 min.,3/6/1987,"Horror, Kryminał","Kanada, USA, Wielka Brytania",Alan Parker,"Mickey Rourke, Robert Deniro, Lisa Bonet",http://www.filmweb.pl/Harry.Angel,"Prywatny detektyw przyjmuje zlecenie odnalezienia znanego kiedyś piosenkarza, Johnny'ego Favorite'a."
Jack Reacher: Jednym strzałem,2 godz. 10 min.,12/10/2012,"Kryminał, Akcja",USA,Christopher McQuarrie,"Tom Cruise, Rosamund Pike, Richard Jenkins",http://www.filmweb.pl/film/Jack+Reacher%3A+Jednym+strza%C5%82em-2012-629392,"Były żołnierz, Jack Reacher, przyjeżdża do małego miasteczka, by wyjaśnić sprawę wyszkolonego wojskowego snajpera, który zastrzelił pięć przypadkowych ofiar."
Jutro będziemy szczęśliwi,1 godz. 58 min.,12/7/2016,"Dramat, Komedia","Francja, Wielka Brytania",Hugo G&eacutelin,"Omar Sy, Clemence Poesy, Antoine Bertrand",http://www.filmweb.pl/film/Jutro+b%C4%99dziemy+szcz%C4%99%C5%9Bliwi-2016-757040,"Prowadzący beztroskie życie mężczyzna musi niespodziewanie zaopiekować się córką, o istnieniu której nie wiedział."
Kasyno,2 godz. 58 min.,11/14/1995,"Dramat, Gangsterski","Francja, USA",Martin Scorsese,"Robert Deniro, Sharon Stone, Joe Pesci",http://www.filmweb.pl/Kasyno,"Las Vegas, rok 1973. Hazardzista i bukmacher, Sam ""Ace"" Rothstein, na polecenie mafii zostaje szefem jednego z największych kasyn w mieście. "
Klucz do wieczności,1 godz. 56 min.,7/10/2015,"Thriller, Sci-Fi",USA,Tarsem Singh,"Ryan Reynolds, Natalie Martinez, Matthew Goode",http://www.filmweb.pl/film/Klucz+do+wieczno%C5%9Bci-2015-686639,"Zamożny mężczyzna chorujący na raka korzysta z udogodnień ówczesnej medycyny, która umożliwia mu przeniesienie świadomości do zdrowego i młodego ciała."
Koneser,2 godz. 11 min.,1/1/2013,"Kryminał, Melodramat",Włochy,Giuseppe Tornatore,"Geoffrey Rush, Jim Sturgess, Sylvia Hoeks",http://www.filmweb.pl/film/Koneser-2013-624525,"Po śmierci rodziców Claire Ibbetson dziedziczy kolekcję dzieł sztuki o nieoszacowanej wartości. Dziewczyna zleca wycenę spadku panu Oldmanowi, szanowanemu właścicielowi domu aukcyjnego. "
La La Land,2 godz. 6 min.,8/31/2016,"Musical, Romans",USA,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend",http://www.filmweb.pl/film/La+La+Land-2016-718819,Los Angeles. Pianista jazzowy zakochuje się w początkującej aktorce. 
Lęk pierwotny,2 godz. 9 min.,4/3/1996,"Dramat, Thriller",USA,Gregory Hoblit,"Richard Gere, Laura Linney, Edward Norton",http://www.filmweb.pl/film/L%C4%99k+pierwotny-1996-1067,Znany cyniczny prawnik podejmuje się obrony młodego chłopaka oskarżonego o zamordowanie miejscowego arcybiskupa.
Medicus,2 godz. 30 min.,12/25/2013,"Przygodowy, Dramat historyczny",Niemcy,Philipp St&oumllzl,"Tom Payne, Stellan Skarsgard, Olivier Martinez",http://www.filmweb.pl/film/Medicus-2013-655701,"Persja, XI w. Młody chłopak, ukrywając się jako Żyd, podejmuje naukę w szkole lekarskiej, by zdobyć niezbędne kwalifikacje. "
Memento,1 godz. 53 min.,9/5/2000,"Kryminał, Thriller",USA,Christopher Nolan,"Guy Pearce, Carrie Anne Moss, Joe Pantoliano",http://www.filmweb.pl/Memento,"Leonard, szukający mordercy swojej żony, w wyniku wypadku traci pamięć krótkotrwałą. Nieustannie robi więc notatki i zdjęcia, a ważniejsze fakty tatuuje sobie na ciele."
Most szpiegów,2 godz. 21 min.,10/4/2015,"Dramat, Thriller","Indie, Niemcy, USA",Steven Spielberg,"Tom Hanks, Mark Rylance, Scott Shepherd",http://www.filmweb.pl/film/Most+szpieg%C3%B3w-2015-728144,"Amerykański prawnik, broniąc w sądzie sowieckiego szpiega, ratuje go przed karą śmierci. Wkrótce pojawia się możliwość wymiany więźnia na pilota USA zestrzelonego nad terytorium ZSRR."
Ona,2 godz. 6 min.,10/12/2013,"Melodramat, Sci-Fi",USA,Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Amy Adams",http://www.filmweb.pl/film/Ona-2013-646395,"Samotny pisarz zapoznaje się z nowo zakupionym systemem operacyjnym, który ma zaspokoić wszystkie jego potrzeby."
Ostatnie tango w Paryżu,2 godz. 16 min.,10/14/1972,"Erotyczny, Melodramat","Francja, Włochy",Bernardo Bertolucci,"Marlon Brando, Maria Schneider, Maria Michi",http://www.filmweb.pl/film/Ostatnie+tango+w+Pary%C5%BCu-1972-8441,"Amerykanin w sile wieku oraz młoda Francuzka, niczego o sobie nie wiedząc, spotykają się w pustym mieszkaniu, by uprawiać sadomasochistyczny seks."
Praktykant,2 godz. 1 min.,9/21/2015,Komedia,USA,Nancy Meyers,"Robert Deniro, Anne Hathaway, Rene Russo",http://www.filmweb.pl/film/Praktykant-2015-704026,Ben nie odkrywa uroków emerytury. Wkrótce rozpoczyna staż w redakcji strony internetowej o modzie.
Snowden,2 godz. 14 min.,7/21/2016,"Biograficzny, Sensacyjny, Thriller","Francja, Niemcy, USA",Oliver Stone,"Joseph Gordon Levitt, Shailene Woodley, Melissa Leo",http://www.filmweb.pl/film/Snowden-2016-728191,"Historia byłego pracownika CIA i NSA Edwarda Snowdena, który ujawnił prasie ściśle tajne dokumenty, doprowadzając do największego przecieku zastrzeżonych informacji w historii USA. "
Stan gry,2 godz. 7 min.,4/17/2009,"Dramat, Thriller","Francja, USA, Wielka Brytania",Kevin Macdonald,"Russel Crowe, Ben Affleck, Rachel McAdams",http://www.filmweb.pl/film/Stan+gry-2009-339949,Para dziennikarzy próbuje rozwiązać tajemnicę morderstwa asystentki kongresmena. 
Tajemnica Brokeback Mountain,2 godz. 14 min.,9/2/2005,Melodramat,"Kanada, USA",Ang Lee,"Heath Ledger, Jake Gyllenhaal, Randy Quaid",http://www.filmweb.pl/Tajemnica.Brokeback.Mountain,"Historia dwóch mężczyzn, którzy z sentymentem wracają do malowniczego Brokeback, gdzie przed laty połączyła ich wielka miłość. "
W pogoni za szczęściem,1 godz. 57 min.,12/15/2006,"Biograficzny, Dramat obyczajowy",USA,Gabriele Muccino,"Will Smith, Jaden Smith, Thandie Newton",http://www.filmweb.pl/W.Pogoni.Za.Szczesciem,"Film oparty na faktach. Chris, samotny ojciec pozbawiony domu, stara się mimo przeciwności losu o posadę w biurze maklerskim."
Zagubiona autostrada,2 godz. 15 min.,1/15/1997,"Dramat, Kryminał, Thriller","Francja, USA",David Lynch,"Bill Pullman, Patricia Arquette, Balthazar Getty",http://www.filmweb.pl/Zagubiona.Autostrada,"Saksofonista zostaje aresztowany pod zarzutem zamordowania swojej żony. Po kilku dniach znika z celi, a na jego miejscu pojawia się inny mężczyzna. "
Zamiana ciał,1 godz. 53 min.,8/5/2011,Komedia,USA,David Dobkin,"Ryan Reynolds, Jason Bateman, Leslie Mann",http://www.filmweb.pl/film/Zamiana+cia%C5%82-2011-566131,"Kiedy dwójka przyjaciół prowadząca zupełnie inny tryb życia zamieniają się ciałami, wpadają w wiele kłopotów. "
Żona na niby,1 godz. 57 min.,2/8/2011,Komedia rom.,USA,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Nicole Kidman",http://www.filmweb.pl/film/%C5%BBona+na+niby-2011-554812,"Dr Danny Maccabee,&nbspchcąc&nbspuwieść młodziutką Palmer, prosi swoją asystentkę, aby udawała jego żonę.&nbsp"